prefix,id,category,en_name,th_name,cn_name,price,desc_en,desc_th,desc_cn,image_url,badges,options
1-1,1,Soups,Pumpkin Soup,ซุปฝักทอง,南瓜汤,90,"Creamy roasted pumpkin soup with a hint of spice, finished with a swirl of fresh cream and served with toast + butter.",,奶油烤南瓜汤带有淡淡的香料味，最后淋上新鲜奶油，配上烤面包和黄油。,.\img\dishes\01-01.png,,
1-2,2,Soups,Carrot Soup,ซุปแครอท,胡萝卜汤,90,"Smooth carrot soup with natural sweetness. Creamy, warm, and full of comfort.",,顺滑的胡萝卜汤，带着天然的甜味。奶油般柔滑，温暖舒适，令人倍感舒适。,.\img\dishes\01-02.png,,
1-3,3,Soups,Tom Yum River Prawn,ต้มยำกุ้งแม่น้ำ,泰式酸辣虾汤,250,"A classic Thai soup loaded with 120g of shrimp — choose between a bright, clear broth or creamy milk and coconut base.",,经典泰式汤，内含 120 克虾，可选择清澈明亮的汤底或奶油牛奶和椰子汤底。,.\img\dishes\01-03.png,seafood,
1-4,4,Soups,Tom Yum Seafood,ต้มยำซีฟู้ด,泰式酸辣海鲜汤,290,"A classic Thai soup loaded with 120g of river prawn and 100g of squid — choose between a bright, clear broth or creamy milk and coconut base.",,经典泰式汤，含有 120 克河虾和 100 克鱿鱼——可选择清澈明亮的汤汁或奶油牛奶和椰子汤底。,.\img\dishes\01-04.png,seafood,
1-5,5,Soups,Spicy Chicken Soup (Tom Yum Gai),ต้มยำไก่ ฮาลาล,清真辣鸡汤,120,Clear Tom Yum with Chicken in Thai herbs & lime.,,清澈的冬阴功鸡肉配泰国香草和酸橙。,.\img\dishes\01-05.png,halal,
1-6,6,Soups,Chicken Galangal Coconut Soup (Tom Kha Gai),ต้มข่าไก่ ฮาลาล,清真鸡肉高良姜椰子汤,120,"A comforting blend of coconut milk, galangal, lemongrass, and tender chicken.",,椰奶、高良姜、柠檬草和嫩鸡肉的舒适混合物。,.\img\dishes\01-06.png,halal,
1-7,7,Soups,Spicy Beef Soup (Tom Sap Neua),ต้มแซ่บเนื้อ ฮาลาล,清真辣牛肉汤,150,Fiery hot and sour broth with fresh lime and stewed beef.,,酸辣汤，配以新鲜的酸橙和炖牛肉。,.\img\dishes\01-07.png,halal,
2-1,8,Salads,Egyptian-style Salad,สลัดอียิปต์,埃及风味沙拉,80,"Zesty cucumber, tomato, and onion tossed in bright lemon dressing.",,香辣黄瓜、西红柿和洋葱拌入鲜亮的柠檬酱中。,.\img\dishes\02-01.png,vegetarian,
2-2,9,Salads,Garden Salad,สลัดผักรวม,田园沙拉,90,"Refreshing mix of cucumbers, tomatoes, carrots, and leafy greens.",,黄瓜、西红柿、胡萝卜和绿叶蔬菜的清爽混合。,.\img\dishes\02-02.png,vegetarian,
2-3,10,Salads,Grilled Chicken Salad,สลัดไก่ย่าง ฮาลาล,清真烤鸡沙拉,120,Smoky grilled chicken over crisp vegetables with house dressing.,,烟熏烤鸡配脆蔬菜和自制调料。,.\img\dishes\02-03.png,halal,
2-4,11,Salads,Minced Chicken Salad (Larb Gai),ลาบไก่ ฮาลาล,鸡肉沙拉,100,"100g ground minced chicken dressed with Thai herbs, onion, and lime.",,100 克鸡肉碎，配以泰国香草、洋葱和酸橙。,.\img\dishes\02-04.png,halal,
2-5,12,Salads,Grilled Australian Beef Salad (Nam Tok Neua Yang),น้ำตกเนื้อย่าง (เนื้อออสเตรเลีย ฮาลาล),烤澳洲牛肉沙拉,190,"120g of juicy grilled Australian beef tossed in Thai herbs, onion, and lime.",,120 克多汁的烤澳大利亚牛肉，加入泰国香草、洋葱和酸橙。,.\img\dishes\02-05.png,halal,
2-6,13,Salads,Minced Duck Salad (Larb Ped),ลาบเป็ด ฮาลาล,碎鸭肉沙拉,110,"100g of minced duck meat dressed with Thai herbs, onion, and lime.",,100 克碎鸭肉，配以泰国香草、洋葱和酸橙。,.\img\dishes\02-06.png,halal,
