prefix,id,category,en_name,th_name,cn_name,price,desc_en,desc_th,desc_cn,image_url,badges,options_en,options_th,options_cn,sig
1-1,1,Soups,Pumpkin Soup,ซุปฝักทอง,南瓜汤,90,"Creamy roasted pumpkin soup with a hint of spice, finished with a swirl of fresh cream and served with toast + butter.",,香浓的烤南瓜汤，带有一丝香料风味，淋上新鲜奶油，并搭配黄油吐司。,\images\dishes\01-01.webp,,,,,0
1-2,2,Soups,Carrot Soup,ซุปแครอท,胡萝卜汤,90,"Smooth carrot soup with natural sweetness. Creamy, warm, and full of comfort.",,丝滑的胡萝卜汤，带有天然植物的甜味。浓稠、温热。,\images\dishes\01-02.webp,,,,,0
1-3,3,Soups,Tom Yum River Prawn,ต้มยำกุ้งแม่น้ำ,泰式酸辣虾汤,250,"A classic Thai soup loaded with 120g of shrimp — choose between a bright, clear broth or creamy milk and coconut base.",,经典的泰式汤品，内含120克虾——可选择清汤底（辣或者不辣）/奶香椰奶汤底。,\images\dishes\01-03.webp,seafood,,,,1
1-4,4,Soups,Tom Yum Seafood,ต้มยำซีฟู้ด,泰式酸辣海鲜汤,290,"A classic Thai soup loaded with 120g of river prawn and 100g of squid — choose between a bright, clear broth or creamy milk and coconut base.",,经典的泰式汤品，内含120克虾和100克鱿鱼——可选择清汤底/浓的奶香椰奶汤底。,\images\dishes\01-04.webp,seafood,,,,0
1-5,5,Soups,Spicy Chicken Soup (Tom Yum Gai),ต้มยำไก่ ฮาลาล,清真辣鸡汤,120,Clear Tom Yum with Chicken in Thai herbs & lime.,,泰式香草与青柠调味的清新冬阴功鸡汤。,\images\dishes\01-05.webp,halal,,,,0
1-6,6,Soups,Chicken Galangal Coconut Soup (Tom Kha Gai),ต้มข่าไก่ ฮาลาล,清真鸡肉高良姜椰子汤,120,"A comforting blend of coconut milk, galangal, lemongrass, and tender chicken.",,椰奶、高良姜、香茅与嫩鸡肉组合烹饪所制的热汤。,\images\dishes\01-06.webp,halal,,,,0
1-7,7,Soups,Spicy Beef Soup (Tom Sap Neua),ต้มแซ่บเนื้อ ฮาลาล,清真辣牛肉汤,150,Fiery hot and sour broth with fresh lime and stewed beef.,,加入新鲜青柠与炖牛肉的酸辣火热汤。,\images\dishes\01-07.webp,halal,,,,0
2-1,8,Salads,Egyptian-style Salad,สลัดอียิปต์,埃及风味沙拉,80,"Zesty cucumber, tomato, and onion tossed in bright lemon dressing.",,黄瓜、番茄和洋葱与清新柠檬酱汁、孜然、蚝油等拌制。,\images\dishes\02-01.webp,vegetarian,,,,1
2-2,9,Salads,Garden Salad,สลัดผักรวม,田园沙拉,90,"Refreshing mix of cucumbers, tomatoes, carrots, and leafy greens.",,家常做法的清爽沙拉，由黄瓜、番茄、胡萝卜和绿叶蔬菜组成。,\images\dishes\02-02.webp,vegetarian,,,,0
2-3,10,Salads,Grilled Chicken Salad,สลัดไก่ย่าง ฮาลาล,清真烤鸡沙拉,120,Smoky grilled chicken over crisp vegetables with house dressing.,,家常做法的烟熏烤鸡，配以爽脆蔬菜与特调酱汁。,\images\dishes\02-03.webp,halal,,,,0
2-4,11,Salads,Minced Chicken Salad (Larb Gai),ลาบไก่ ฮาลาล,鸡肉沙拉,100,"100g ground minced chicken dressed with Thai herbs, onion, and lime.",,100克鸡肉末沙拉，配以泰式香草、洋葱和青柠酱汁。,\images\dishes\02-04.webp,halal,,,,0
2-5,12,Salads,Grilled Australian Beef Salad (Nam Tok Neua Yang),น้ำตกเนื้อย่าง (เนื้อออสเตรเลีย ฮาลาล),烤澳洲牛肉沙拉,190,"120g of juicy grilled Australian beef tossed in Thai herbs, onion, and lime.",,120克多汁的澳洲烤牛肉，配以泰式香草、洋葱和青柠凉拌。,\images\dishes\02-05.webp,halal,,,,0
2-6,13,Salads,Minced Duck Salad (Larb Ped),ลาบเป็ด ฮาลาล,碎鸭肉沙拉,110,"100g of minced duck meat dressed with Thai herbs, onion, and lime.",,100克鸭肉末，配以泰式香草、洋葱和青柠酱汁所制的沙拉。,\images\dishes\02-06.webp,halal,,,,1
2-7,14,Salads,Minced Beef Salad (Larb Neua),ลาบเนื้อ ฮาลาล,碎牛肉沙拉,100,"100g of minced beef dressed with Thai herbs, onion, and lime.",,100克牛肉末，配以泰式香草、洋葱和青柠酱所制的沙拉。,\images\dishes\02-07.webp,halal,,,,0
2-8,15,Salads,Glass Noodle Salad (Yum Wun Sen),ยำวุ้นเส้นกุ้ง/ปลาหมึก,虾/鱿鱼粉丝沙拉,130,Silky glass noodles in spicy Thai dressing and cooked with your choice of Shrimp or Squid.,,爽滑粉丝配以泰式辣酱，可选配虾/鱿鱼。,\images\dishes\02-08.webp,seafood,,,,0
2-9,16,Salads,Seafood Glass Noodle Salad (Yum Wun Sen Talay),ยำวุ้นเส้นรวมทะเล,海鲜粉丝沙拉,150,A medley of shrimp and squid with noodles in vibrant Thai salad.,,爽滑粉丝配以泰式沙拉酱，内含虾和鱿鱼。,\images\dishes\02-09.webp,seafood,,,,0
2-10,17,Salads,Mixed Seafood Salad (Yum Lowam Mit Talay),ยำรวมมิตรทะเล,什锦海鲜沙拉,180,"Bold Thai-style seafood salad—shrimp, squid, crab sticks, and heat.",,辛辣浓郁的泰式海鲜沙拉——包含虾、鱿鱼、蟹柳。,\images\dishes\02-10.webp,seafood,,,,0
2-11,18,Salads,Australian Beef Salad (Yum Neua),ยำเนื้อออสเตรเลีย ฮาลาล,烤澳洲牛肉沙拉,190,Sliced grilled beef in spicy lime dressing with herbs.,,切片烤牛肉配以酸辣青柠酱汁和香草所拌成的沙拉（可选择辣度）。,\images\dishes\02-11.webp,halal,,,,0
2-12,19,Salads,Herbal Shrimp Salad (Pla Kung),พล่ากุ้ง,香草虾沙拉,180,"Lightly poached of shrimp with lemongrass, lime, and fresh Thai herbs.",,轻焯的虾配以香茅、青柠和新鲜泰式香草所制的沙拉。,\images\dishes\02-12.webp,seafood,,,,0
2-13,20,Salads,Chicken Sausage Salad (Yum Gaiyo),ยำไก่ยอ ฮาลาล,鸡肉香肠沙拉,100,Spicy chicken sausage mixed with Thai herbs and lemon.,,辣味鸡肉肠与泰式香草和柠檬混合所制的沙拉。,\images\dishes\02-13.webp,halal,,,,0
3-1,21,Appetizers,Fried Cashew Nuts,ยำเม็ดมะม่วงหิมมะพานต์,油炸腰果配柠檬片,120,Crispy golden cashews fried to perfection and tossed with a zesty Thai-style seasoning.,,完美炸制的金黄酥脆腰果，拌以开胃的泰式调味料。,\images\dishes\03-01.webp,spicy,,,,0
3-2,22,Appetizers,Fried Peanuts,ยำถั่วลิสงทอด,油炸花生配柠檬片,100,"Crunchy peanuts with a savory touch, perfectly fried for a bold Thai snack.",,完美炸制咸香酥脆的花生，是地道的泰式小吃。,\images\dishes\03-02.webp,spicy,,,,0
3-3,23,Appetizers,French Fries,เฟรนช์ฟรายส์,炸薯条,,"Golden fries, crispy outside and soft inside. Perfect with any main dish or on their own.",,金脆薯条，外酥内嫩，搭配任何主菜或单独享用皆宜。,\images\dishes\03-03.webp,vegetarian,Plain: 60 | Paprika: 70,ธรรมดา: 60 | พริกปาปริก้า: 70,原味: 60 | 红甜椒味:70,0
3-4,24,Appetizers,Onion Rings,ออเนียนริงส์,洋葱圈,60,"Crispy onion rings, golden and crunchy. A timeless favorite snack to share or enjoy solo.",,金黄酥脆的洋葱圈，经久不衰的经典小吃。,\images\dishes\03-04.webp,,,,,0
3-5,25,Appetizers,Vegetable Spring Rolls,ปอเปี๊ยทอด,蔬菜春卷,120,"Glass noodles, carrot, cabbage",,内含粉丝、胡萝卜、卷心菜。,\images\dishes\03-05.webp,vegetarian,,,,0
3-6,26,Appetizers,Fish Cakes (Toad Mun Pla),มันปลาทอด,鱼饼,120,Thai-style fish cakes full of herbs and spice. Served with a tangy dipping sauce.,,泰式风味鱼饼，充满香草与香料，配以酸辣蘸酱。,\images\dishes\03-06.webp,seafood,,,,0
3-7,27,Appetizers,Tamarind Glazed Chicken Wings,ปีกไก่ทอดซอสมะขาม ฮาลาล,罗望子酱炒鸡翅,130,"Tangy, sweet and savory wings with signature tamarind sauce.",,酸甜咸香的风味鸡翅，裹以特色罗望子酱。,\images\dishes\03-07.webp,"halal, new",,,,1
3-8,28,Appetizers,Tamarind Glazed River Shrimp,กุ้งแม่น้ำทอดซอสมะขาม,罗望子酱炒虾,200,"Juicy shrimp glazed in tangy tamarind sauce - sweet, sour, and unforgettable.",,酸甜咸香多汁的虾，裹以特色罗望子酱。,\images\dishes\03-08.webp,"halal, new",,,,0
3-9,29,Appetizers,Fried Chicken Wings with Thai Herb,ปีกไก่ทอดสมุนไพร ฮาลาล,泰式香草炸鸡翅,130,"Fried chicken wings with Thai herbal aroma - crispy, juicy, and halal-friendly delight.",,散发着泰式香草香气的炸鸡翅——外皮酥脆，内里多汁。,\images\dishes\03-09.webp,halal,,,,0
3-10,30,Appetizers,Fried Chicken Wings,ปีกไก่ทอด ฮาลาล,炸鸡翅,,"Golden fried chicken wings, crispy outside and juicy on the inside for the perfect bite.",,金黄炸鸡翅，外酥里嫩，每一口都恰到好处。,\images\dishes\03-10.webp,halal,Plain: 120 | Paprika: 130,ธรรมดา: 120 | พริกปาปริก้า: 130,原味: 120 | 红甜椒味:130,0
3-11,31,Appetizers,Fish Sauce Fried Chicken Wings,ปีกไก่ทอดน้ำปลา ฮาลาล,鱼露炸鸡翅,110,Crispy fried chicken wings marinated in savory Thai fish sauce.,,经咸香泰式鱼露腌制后，炸得酥脆的鸡翅。,\images\dishes\03-11.webp,"halal, spicy",,,,0
3-12,32,Appetizers,Chicken Nuggets,นักเก็ตส์ไก่,鸡块,100,"Bite-sized golden crunch with juicy chicken inside, perfect for dipping and sharing!",,一口大小的金黄脆块，内里是多汁的鸡肉。,\images\dishes\03-12.webp,halal,,,,0
4-1,33,Burgers,Classic Beef Burger,เบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,经典牛肉汉堡,190,120g of juicy grilled beef patty with fresh veggies and our signature sauce.,,120克多汁烤牛肉饼，搭配新鲜蔬菜和特调酱汁。,\images\dishes\04-01.webp,halal,,,,0
4-2,34,Burgers,Cheeseburger,ชีสเบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,芝士汉堡,220,120g of savory beef topped with melted cheese —comfort in every bite.,,120克咸香牛肉饼，覆以半融化的芝士。,\images\dishes\04-02.webp,halal,,,,0
4-3,35,Burgers,Double Beef Burger,ดับเบิ้ลเบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,双层牛肉汉堡,270,Two layers of flavorful beef (240g) for maximum satisfaction.,,两层风味牛肉饼（共240克），带来极致满足。,\images\dishes\04-03.webp,halal,,,,0
4-4,36,Burgers,Fried Chicken Burger,เบอร์เกอร์ไก่ทอด ฮาลาล,炸鸡汉堡,180,Crispy fried chicken with lettuce and creamy mayo —crunchy and crave-worthy.,,酥脆炸鸡配生菜和奶油蛋黄酱。,\images\dishes\04-04.webp,halal,,,,0
4-5,37,Burgers,Japanese Style Hamburg,เบอร์เกอร์สไตล์ญี่ปุน+ข้าว ฮาลาล,日式汉堡+米饭，清真,270,"Two tender beef patties served with Japanese Sauce, steamed vegetables and steamed rice.",,由米饭包裹两片嫩牛肉饼并配以日式酱汁、蒸蔬菜。,\images\dishes\04-05.webp,halal,,,,0
5-1,38,Spaghetti,Spaghetti Carbonara,สปาเกตตีคาโบนารา,卡邦尼意大利面,150,"Creamy carbonara sauce with ham and sausage—rich, comforting, and satisfying.",,意大利面-配以含鸡肉火腿的奶油卡邦尼酱。,\images\dishes\05-01.webp,halal,,,,0
5-2,39,Spaghetti,Spaghetti Bolognese,สปาเกตตีโบโลเนสซอสเนื้อ ฮาลาล,肉酱意大利面,150,Hearty Italian-style beef ragù simmered in tomato and herbs.,,意式牛肉酱面，与番茄和香草一同慢炖所制。,\images\dishes\05-02.webp,halal,,,,1
5-3,40,Spaghetti,Spaghetti with Tomato Sauce,สปาเกตตีซอสมะเขือเทศ,番茄酱意大利面,120,"Classic sweet-and-tangy tomato sauce, slow-cooked to perfection.",,经典番茄意大利面。,\images\dishes\05-03.webp,vegetarian,,,,0
5-4,41,Spaghetti,Chicken Spaghetti with Thai Herbs (Pad Ka Praw Gai),สปาเกตตีผัดกะเพราไก่ ฮาลาล,泰式香草鸡肉意大利面,120,A Thai twist—spaghetti tossed with spicy basil chicken.,,泰式风味——辣罗勒鸡肉酱浇制的意大利面。,\images\dishes\05-04.webp,"halal, spicy",,,,0
5-5,42,Spaghetti,Spaghetti with Thai Basil (Pad Ka Praw),สปาเกตตีผัดกะเพรา,泰式罗勒虾/鱿鱼意大利面,,Stir-fried spaghetti loaded with shrimp or squid and bold basil flavor.,,鲜虾/鱿鱼+有罗勒风味的意大利面。,\images\dishes\05-05.webp,seafood,Shrimp: 150 | Squid: 150 | Seafood: 180,กุ้ง: 150 | ปลาหมึก: 150 | ซีฟูด: 180,虾 / 鱿鱼: 150 | 海鲜:180,0
5-6,43,Spaghetti,Beef Spaghetti in Red Curry (Pad Ped Neua),สปาเกตตีผัดเผ็ดเนื้อ ฮาลาล,清真辣牛肉意大利面,160,Plump beef stir-fried Thai-style with hot chilies and red curry.,,泰式爆炒大块牛肉，配以辣椒和红咖喱。,\images\dishes\05-06.webp,halal,,,,0
6-1,44,Som Tum,Papaya Salad (Som Tum Prara),ส้มตำปลาร้า,木瓜沙拉配发酵鱼,70,"Crisp green papaya tossed with rich, authentic Isan-style fish sauce, Thai anchovy, garlic, chili and lime —fiery and flavorful!",,东北风味的脆爽青木瓜，配以鱼露、大蒜、辣椒和青柠。火辣够味！,\images\dishes\06-01.webp,spicy,,,,0
6-2,45,Som Tum,Papaya Salad with Pickled Crab (Som Tum Pu Prara),ส้มตำปูปลาร้า,木瓜沙拉配发酵鱼和蟹,75,"Traditional papaya salad with pickled crab and fish sauce, Thai anchovy, garlic, chili and lime —bold and zesty!",,传统木瓜沙拉，加入腌蟹和鱼露、泰式凤尾鱼、大蒜、辣椒和青柠——风味浓郁独特！,\images\dishes\06-02.webp,spicy,,,,0
6-3,46,Som Tum,Classic Thai Papaya Salad (Som Tum Thai),ส้มตำไทย,经典泰式木瓜沙拉,70,"Sweet, sour, and spicy papaya salad with peanuts and dried shrimp.",,包含酸甜辣多种风味的木瓜沙拉，配有花生和虾干。,\images\dishes\06-03.webp,spicy,,,,0
6-4,47,Som Tum,Salted Egg Som Tum (Khai Kem),ส้มตำไข่เค็ม,咸蛋木瓜沙拉,80,"Sweet-spicy papaya salad with rich, creamy salted egg.",,甜辣木瓜沙拉，搭配浓郁的咸蛋。,\images\dishes\06-04.webp,spicy,,,,0
6-5,48,Som Tum,Cucumber Salad (Tum Tang),ตำแตง,黄瓜沙拉,70,"Refreshing cucumbers mixed with savory Isan-style fish sauce, Thai anchovy, garlic, chili and lime.",,咸香的东北风格鱼露所拌的清爽黄瓜、泰式凤尾鱼、大蒜、辣椒和青柠混合。,\images\dishes\06-05.webp,spicy,,,,0
6-6,49,Som Tum,Papaya Salad Tum Pa (Tum Pa),ตำป่า,木瓜沙拉Tum Pa,100,"Fresh papaya salad Tum Pa style - spicy, tangy, and bursting with bold flavors.",,鲜木瓜沙拉配米线、螺肉、鸡肉、茄子等——辛辣、酸爽，风味浓郁。,\images\dishes\06-06.webp,spicy,,,,0
6-7,50,Som Tum,Peanut Spicy Salad (Tum Touwa),ตำถั่ว,青豆沙拉,70,"Fresh peanuts with authentic Isan-style fish sauce, Thai anchovy, garlic, chili and lime.",,泰国东北风味的鱼露所拌的花生、泰式凤尾鱼、大蒜、辣椒和青柠。,\images\dishes\06-07.webp,spicy,,,,0
6-8,51,Som Tum,Papaya salad with Chicken Sausage (Som Tum Gaiyo),ส้มตำไก่ยอ ฮาลาล,木瓜鸡肉香肠沙拉,80,Classic papaya salad with chicken sausage.,,经典木瓜沙拉配鸡肉香肠。,\images\dishes\06-08.webp,spicy,,,,0
7-1,52,Curries,Green Curry (Gang Kew Wan),แกงเขียวหวาน ไก่/เนื้อออสเตรเลีย ฮาลาล,绿咖喱、鸡肉/澳洲牛肉,,Silky green curry infused with Thai basil and tender meat of your choice.,,丝滑绿咖喱，注入泰式罗勒香气，配以顾客自选的新鲜嫩肉。,\images\dishes\07-01.webp,halal,Chicken: 120 | AUS Beef: 170,ไก่: 120 | เนื้อออสเตรเลีย: 170,鸡肉:120 | 澳洲牛肉:170,0
7-2,53,Curries,Panang Curry,แกงแพนง ไก่/เนื้อออสเตรเลีย ฮาลาล,Panang 咖喱、鸡肉/澳大利牛肉,,Rich and creamy curry with bold spices and aromatic coconut.,,奶油质地的咖喱牛肉/鸡肉，带有强烈的香料风味和芳香的椰子风味。,\images\dishes\07-02.webp,halal,Chicken: 120 | AUS Beef: 170,ไก่: 120 | เนื้อออสเตรเลีย: 170,鸡肉:120 | 澳洲牛肉:170,0
7-3,54,Curries,Red Curry (Gang Dang),แกงแดง ไก่/เนื้อออสเตรเลีย ฮาลาล,红咖喱、鸡肉/澳洲牛肉,,"Classic Thai red curry—vibrant, spicy, and coconut-rich.",,经典泰式红咖喱鸡肉/牛肉—辛辣且椰香浓郁。,\images\dishes\07-03.webp,halal,Chicken: 120 | AUS Beef: 170,ไก่: 120 | เนื้อออสเตรเลีย: 170,鸡肉:120 | 澳洲牛肉:170,0
7-4,55,Curries,Thai Chili Stir-Fry (Sho Chi),ฉู่ฉี่,泰式辣椒炒海鲜,,"Thai red curry with coconut milk with your choice of shrimp, squid or both.",,泰式红咖喱配椰奶，可选虾、鱿鱼或双拼。,\images\dishes\07-04.webp,seafood,Shrimp: 150 | Squid: 150 | Seafood: 180,กุ้ง: 150 | ปลาหมึก: 150 | ซีฟูด: 180,虾 / 鱿鱼: 150 | 双拼: 180,0
7-5,56,Curries,Spicy Herb Beef Curry (Gang Om Neua),แกงอ่อมเนื้อ ฮาลาล,香草辣味牛肉咖喱,120,Authentic rustic curry packed with Isan herbs and tender beef.,,地道的乡村风味咖喱牛肉，配以东北香草。,\images\dishes\07-05.webp,halal,,,,0
8-1,57,One Dish,Fried Rice (Kaw Pad),ข้าวผัด,炒饭,,"Classic fried rice cooked with Thai herbals, egg and seafood.",,经典炒饭，以泰式香草、鸡蛋和海鲜烹制。,\images\dishes\08-01.webp,seafood,Shrimp: 100 | Squid: 100 | Seafood: 120,กุ้ง: 100 | ปลาหมึก: 100 | ซีฟูด: 120,虾 / 鱿鱼: 100 | 海鲜: 120,0
8-2,58,One Dish,Fried Rice with Chicken (Kaw Pad Gai),ข้าวผัดไก่ ฮาลาล,鸡肉炒饭,100,"Classic fried rice cooked with Thai herbals, egg and chicken.",,经典炒饭，以泰式香草、鸡蛋和鸡肉烹制。,\images\dishes\08-02.webp,halal,,,,0
8-3,59,One Dish,Fried Rice with Beef (Kaw Pad Neua),ข้าวผัดเนื้อออสเตรเลีย ฮาลาล,牛肉炒饭,180,"Classic fried rice cooked with Thai herbals, egg and beef.",,经典炒饭，以泰式香草、鸡蛋和牛肉烹制。,\images\dishes\08-03.webp,halal,,,,0
8-4,60,One Dish,Basil Stir-Fried Rice (Kaw Pad Gra Praw),ผัดกระเพราราดข้าว ฮาลาล,罗勒炒饭,,Thai basil fried rice loaded with your choice of protein.,,泰式罗勒炒饭，配以顾客任选的肉类。,\images\dishes\08-04.webp,halal,Chicken: 100 | Beef: 120 | Shrimp: 120 | Squid: 120 | Seafood: 130,ไก่: 100 | เนื้อ: 120 | กุ้ง: 120 | ปลาหมึก: 120 | ซีฟูด: 130,鸡肉: 100 | 牛肉 / 虾 / 鱿鱼: 120 | 海鲜: 130,0
8-5,61,One Dish,Thai Herbal Stir-Fried Rice (Pad Cha),ผัดฉ่าราดข้าว ฮาลาล,泰式香草炒饭,,"Stir fried rice cooked with Thai herbs, Galangal, green unripe peppercorns (Prik Thai).",,以泰式香草、高良姜、绿胡椒籽爆炒的米饭，配以顾客任选的肉类。,\images\dishes\08-05.webp,halal,Chicken: 100 | Beef: 120 | Seafood: 130,ไก่: 100 | เนื้อ: 120 | ซีฟูด: 130,鸡肉: 100 | 牛肉: 120 | 海鲜: 130,0
8-6,62,One Dish,Fried Rice with Grilled  Beef,ข้าวผัดเนื้อออสเตรเลียย่างดองซีอิ้ว,烤牛肉炒饭配酸蛋,220,Fried garlic rice and savory Australian beef strips served with clear flavory soup,,蒜香炒饭配咸香澳洲牛肉，加以照烧酱及腌制后的温泉蛋黄，附赠清汤。,\images\dishes\08-06.webp,halal,,,,1
8-7,63,One Dish,Fried Rice With Grilled Chicken in Teriyaki Sauce,ข้าวหน้าไก่เทริยากิ ย่าง ฮาลาล,炒饭，照烧酱烤鸡,150,"Fried garlic rice and tender grilled chicken glazed with a rich, served with clear flavory soup",,蒜香炒饭配烤鸡，裹以浓郁照烧酱汁，附赠清汤。,\images\dishes\08-07.webp,halal,,,,0
8-8,64,One Dish,Pad Thai Shrimp,ผัดไทยกุ้ง,泰式虾炒河粉,120,"Classic Thai noodles stir-fried with juicy shrimp, egg, and peanuts in a sweet-tangy sauce.",,经典泰式炒河粉-与大虾、鸡蛋和花生在酸甜酱汁中爆炒。,\images\dishes\08-08.webp,seafood,,,,0
8-9,65,One Dish,Thai Omelet with Minced Shrimp (Kai Jeow Kung Sup),ไข่เจียวกุ้งสับ,泰式虾仁煎蛋卷,70,Two eggs omelet with chopped shrimp—rich and savory.,,包含两个鸡蛋的煎蛋卷，内有虾仁碎。,\images\dishes\08-09.webp,seafood,,,,0
8-10,66,One Dish,Thai Omelet (Kai Jeow),ไข่เจียว,泰式煎蛋卷,40,Puffy and golden Thai-style omelet.,,蓬松金黄的泰式风格煎蛋卷。,\images\dishes\08-10.webp,,,,,0
8-11,67,One Dish,Fried Egg (Kai Daw),ไข่ดาว,煎蛋,20,Sunny-side up perfection.,,完美的单面煎蛋。,\images\dishes\08-11.webp,,,,,0
8-12,68,One Dish,Steamed Rice (Kaw Soway),ข้าวสวย,米饭,20,Fluffy steamed jasmine rice.,,蓬松的蒸茉莉香米饭。,\images\dishes\08-12.webp,,,,,0
9-1,69,Fried Grills,Garlic-Fried (Toad Gra Tiyum),ทอดกระเทียม ฮาลาล,蒜香炸鸡/牛肉,,Crispy and golden garlic fried with your choice of protein.,,金黄酥脆的蒜蓉炸物，肉类自选。,\images\dishes\09-01.webp,halal,Chicken: 120 | Beef: 150,ไก่: 120 | เนื้อ: 150,鸡肉: 120 | 牛肉: 150,0
9-2,70,Fried Grills,Garlic-Fried River Shrimp (Toad Gra Tiyum),กุ้งแม่น้ำทอดซอสมะขาม,蒜蓉炒河虾,200,Garlic-Fried River Shrimp made with authentic Thai flavors. A delightful choice to enjoy anytime.,,以地道泰式风味制作的蒜蓉炒河虾。,\images\dishes\09-02.webp,seafood,,,,0
9-3,71,Fried Grills,Fried Tilapia with Garlic (Toad Gra Tiyum Pra),ปลาทับทิมทอดกระเทียม,蒜蓉炒罗非鱼,250,Seabass fish fried to perfection with crispy fried garlic and Thai sauce.,,完美炸制的海鲈鱼，配以酥炸蒜粒和泰式酱汁。--,\images\dishes\09-03.webp,seafood,,,,0
9-4,72,Fried Grills,Sun-Dried Beef (Neua Daad Diew),เนื้อแดดเดียว ฮาลาล,干牛肉,170,"Crispy sun-dried Thai sauce marinated beef—salty, smoky and addictive.",,经泰式酱汁腌制酥脆的日晒牛肉，口感为咸香、烟熏。,\images\dishes\09-04.webp,halal,,,,0
9-5,73,Fried Grills,Grilled Australian Beef with Jaew Sauce,เนื้อย่างจิ้มแจ่ว (เนื้อออสเตรเลีย ฮาลาล),烤牛肉配jaew酱（澳大利亚牛肉，清真）,260,"180g of tender grilled Australian beef strips served with Isan-style sauce that is sweet, sour and spicy.",,180克嫩烤澳洲牛肉条，配以酸甜辣口味的东北风格Jaew酱。,\images\dishes\09-05.webp,halal,,,,0
10-1,74,Stir-fries,Stir-fried Chicken with Cashew Nuts (Thai Pad Med Ma'mouwang),ไก่ผัดเม็ดมะม่วงหิมพานต์ ฮาลาล,腰果鸡丁,150,"Chicken with crispy golden cashews, fried to perfection and tossed with a zesty Thai-style seasoning.",,泰式风味的炒鸡肉，配以金黄酥脆的腰果。,\images\dishes\10-01.webp,halal,,,,0
10-2,75,Stir-fries,Spicy Basil Stir-Fry (Pad Kra Praw),ผัดกระเพรา ฮาลาล,辣罗勒炒鸡肉/牛肉/虾/鱿鱼,,"Thailand’s favorite! Stir-fried with Thai basil leaves, chilies and your choice of protein.",,泰国最受欢迎的美食！与泰式罗勒叶、辣椒及顾客自选肉类一同爆炒。,\images\dishes\10-02.webp,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150,ไก่: 120 | เนื้อ: 150 | กุ้ง: 150 | ปลาหมึก: 150,鸡肉: 120 | 牛肉 / 虾 / 鱿鱼:150,0
10-3,76,Stir-fries,Thai Herbal Stir-Fry (Pad Cha),ผัดฉ่า ฮาลาล,泰式香草炒鸡肉/牛肉/虾/鱿鱼,,"Bold and spicy with aromatic galangal, peppercorns, Thai herbs and your choice of protein.",,风味浓郁辛辣，带有高良姜、胡椒籽、泰式香草的香气，配以顾客自选肉类。,\images\dishes\10-03.webp,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150,ไก่: 120 | เนื้อ: 150 | กุ้ง: 150 | ปลาหมึก: 150,鸡肉: 120 | 牛肉 / 虾 / 鱿鱼:150,0
10-4,77,Stir-fries,Thai Herbs Stir-Fried (Pad Khee Maw),ผัดขี้เมา ฮาลาล,泰式香草炒鸡肉/牛肉/虾/鱿鱼,,Fragrant Thai herbs stir-fried to a spicy kick—with your choice of chicken or seafood.,,芳香的泰式香草爆炒顾客自选的任何肉类。,\images\dishes\10-04.webp,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150,ไก่: 120 | เนื้อ: 150 | กุ้ง: 150 | ปลาหมึก: 150,鸡肉: 120 | 牛肉 / 虾 / 鱿鱼:150,0
